Country,Value
Rwanda,5.4665517
Cote d'Ivoire,4.3700264
Iran (Islamic Republic of),4.3502581
Ethiopia,4.236814099999999
Lesotho,4.225028600000001
Benin,4.171937999999999
Maldives,4.116457499999999
Zambia,4.104775100000001
Ghana,4.0819999
Guatemala,4.0712161
Malawi,4.067836499999999
Guinea-Bissau,4.057642599999999
Nigeria,4.0470933
Cameroon,4.0403885
Egypt,4.0361633999999995
Niger,4.020179
Burkina Faso,4.0163565000000006
Mali,4.011782
Togo,4.007256600000001
Morocco,3.984249
Lebanon,3.9829216
Indonesia,3.9745203
Mozambique,3.9731053999999992
Tajikistan,3.9645889
United Arab Emirates,3.9528477999999994
Kenya,3.9087244
Tunisia,3.9056314999999993
Yemen,3.9042319
Bangladesh,3.8936117
Haiti,3.8875327999999993
"Korea, North",3.8747933999999997
Turkey,3.8725210000000003
Dominican Republic,3.8662819999999996
Madagascar,3.8641856999999997
Zimbabwe,3.8641202000000003
Nepal,3.836626
Timor-Leste,3.8284072
Senegal,3.8237001
Peru,3.8154648
Guinea,3.7953308000000003
Eswatini,3.788661900000001
United Republic of Tanzania,3.7872716
Sao Tome and Principe,3.7812713
Iraq,3.7632103000000003
Israel,3.7560214999999997
Gambia,3.7492653
Cambodia,3.736089
Sierra Leone,3.7253648999999998
Sri Lanka,3.7120275
Algeria,3.6850163
Solomon Islands,3.6753245
Liberia,3.6699162
Lao People's Democratic Republic,3.646791000000001
Kiribati,3.6467606999999997
Jordan,3.6420824000000005
Saudi Arabia,3.6399108999999994
Djibouti,3.6394918000000005
Congo,3.6207381999999995
Uganda,3.6182186
Honduras,3.6129992000000004
El Salvador,3.5999396
Angola,3.5997172
Nicaragua,3.5905308000000002
Guyana,3.5838601
Namibia,3.5550918999999994
India,3.5499313999999997
Grenada,3.5444744999999998
Afghanistan,3.5210174999999997
Greece,3.5187638000000003
Kuwait,3.5146948
Botswana,3.5118617
Chad,3.5111869
Mauritius,3.5071815000000006
Mexico,3.4553599999999993
Vanuatu,3.4519086000000003
Suriname,3.4340170000000003
Bosnia and Herzegovina,3.427161
Cyprus,3.4169067000000006
Gabon,3.4119517000000004
Venezuela (Bolivarian Republic of),3.4086735999999997
Azerbaijan,3.4062982999999996
North Macedonia,3.4013459999999998
Spain,3.3933704000000002
Oman,3.3908096999999997
Colombia,3.3793903999999997
Japan,3.3784031999999993
South Africa,3.3738590999999998
Saint Vincent and the Grenadines,3.3723286000000003
Malaysia,3.3674041000000003
"Korea, South",3.3628912
Thailand,3.3584215
Paraguay,3.3557132999999997
Sudan,3.3553050999999994
Belarus,3.327958
Georgia,3.3259429
Mauritania,3.3163584999999993
Slovenia,3.3155629999999996
Kyrgyzstan,3.3087157
Central African Republic,3.3086238000000003
New Caledonia,3.2926667
Cabo Verde,3.2789447999999997
Italy,3.2689517
Malta,3.2661643999999996
United States of America,3.258009
Australia,3.2495464999999997
Taiwan*,3.2487561
Costa Rica,3.2086951999999997
Ecuador,3.2074290999999997
Cuba,3.201606
Uzbekistan,3.1997653999999995
Canada,3.1920314000000007
China,3.1918167000000004
Antigua and Barbuda,3.1747213
Barbados,3.1739750999999994
Trinidad and Tobago,3.1678222999999996
Myanmar,3.1626836000000003
Ukraine,3.1526625
Kazakhstan,3.1509205000000002
Switzerland,3.1492044999999997
Panama,3.1365165
Dominica,3.1341298000000006
Samoa,3.1329764
French Polynesia,3.132502299999999
Armenia,3.1245259999999995
Bahamas,3.1227475
Philippines,3.1143856000000003
Norway,3.1120501000000003
Jamaica,3.1026416
Fiji,3.0993305000000007
Belize,3.0985058
United Kingdom,3.0984987
Saint Kitts and Nevis,3.0861439
Ireland,3.0825419999999997
Germany,3.0602088999999997
Bolivia,3.0559386
Vietnam,3.0558268999999996
Estonia,3.053474
Romania,3.0531819000000007
Portugal,3.0529558999999997
Albania,3.0478551
Montenegro,3.0437709
Croatia,3.0411023999999998
Pakistan,3.0273799999999995
Netherlands,3.0234455
Uruguay,3.0125795999999996
Belgium,3.0016500999999995
Sweden,2.9960192
Serbia,2.9864935000000004
Republic of Moldova,2.9814790000000007
Chile,2.9578243
Brazil,2.9438918000000007
Iceland,2.9347092000000004
Czechia,2.9312055999999997
Latvia,2.9251791
Bulgaria,2.9144759000000007
France,2.9003329000000004
Slovakia,2.8981467
Austria,2.8921660999999994
Lithuania,2.8884890999999997
Russian Federation,2.8743640000000004
Saint Lucia,2.8425822
Luxembourg,2.8387500000000006
Denmark,2.8283255
Turkmenistan,2.8180156
New Zealand,2.7875794
Argentina,2.7843226999999997
Hungary,2.7111446
Poland,2.6729058000000006
Finland,2.6690202
Mongolia,2.5995332999999996
