Country,Score
Cote d'Ivoire,69.65669458679537
Iran (Islamic Republic of),67.51385866110203
Morocco,66.39832002171804
Guyana,65.87279392165148
Peru,63.502421269068535
United Arab Emirates,61.992639092656056
Maldives,58.564427365070124
Bosnia and Herzegovina,55.60511018259199
Azerbaijan,55.37344575544028
Guatemala,52.07101979935998
Indonesia,47.614937412677435
Philippines,47.20232583103314
Lebanon,46.870969965992295
Oman,45.38865477776631
Algeria,45.00750435152185
Egypt,44.44769006018201
Israel,43.71662953157606
Nepal,40.900990411955576
Saint Vincent and the Grenadines,40.76106727936381
Madagascar,38.575480613683816
Tunisia,38.55284350681313
Kenya,38.03840122260243
El Salvador,36.49586215228039
Kuwait,35.75115104105039
Armenia,35.57556743576722
Malawi,34.38886997926018
Lao People's Democratic Republic,33.68703576621095
Barbados,32.81660055196174
Mali,32.048629442684245
Cameroon,31.74919129514128
Serbia,31.708574992508204
Slovenia,31.658339291922985
Albania,31.603223169906336
North Macedonia,31.317699373688214
Bangladesh,31.02234274932097
Benin,30.61880642369252
Ghana,29.356598325948212
Sri Lanka,29.33366585868083
Vietnam,29.2703386910852
Bahamas,29.05205834425773
Eswatini,27.537707069663824
Colombia,27.319670127833305
Kyrgyzstan,25.70866022979456
Estonia,25.399071401869946
Denmark,25.279877176993338
Bolivia,24.314079311311247
Mexico,23.92585080374431
China,21.806764026810768
Turkey,21.651379329424984
"Korea, North",21.62255180443097
Rwanda,21.21558502720154
Ethiopia,20.87759092170154
Solomon Islands,19.822712756814738
Congo,16.741354491017162
Malta,16.661405319758515
India,16.40128662685011
Afghanistan,16.34600164289452
Chile,15.670500802894125
Canada,14.466197471922484
Cyprus,13.714129401599948
Ukraine,13.627826739668464
Uzbekistan,13.596149719516063
Haiti,13.306460482000688
Lithuania,12.789663786925729
Spain,12.484966438285014
Grenada,12.266547641598194
Saudi Arabia,12.08524399733659
Antigua and Barbuda,11.938478919014102
Cuba,11.560312178589228
Nigeria,11.501937997984285
Dominica,11.100156791251635
Tajikistan,10.260892938846226
Panama,10.067330779281619
Belarus,9.5672637930099
Norway,9.10465216004171
Timor-Leste,7.645894502463392
Australia,6.960710731850526
United Kingdom,4.510227606529796
Thailand,4.06281204887307
Cambodia,3.960888969744502
Montenegro,3.258352586459111
Mozambique,3.1108682099222733
Costa Rica,3.001471238756281
Myanmar,0.9867147591528749
United States of America,0.5557753112833126
Jamaica,0.1238110957972367
Iceland,0.048214426096123475
Romania,-0.48678730357733
Saint Lucia,-0.6410180593274362
Netherlands,-0.7467857366425932
Guinea-Bissau,-1.0737065599460038
Trinidad and Tobago,-2.0065809703877306
Sweden,-2.2998658741965983
Greece,-2.422893964950802
Uganda,-3.158668207617538
New Zealand,-3.306434836457086
Georgia,-4.203295652166489
Gabon,-4.5757543727403345
Jordan,-5.076706185393547
Dominican Republic,-5.710112582256187
Portugal,-6.087427160966712
Latvia,-6.752476116312764
Ireland,-6.902235860928599
"Korea, South",-9.045275702861787
Japan,-10.582590418256387
Namibia,-10.778196824116293
United Republic of Tanzania,-11.221295590377778
Switzerland,-11.602265196796267
France,-11.63864877015186
Germany,-13.339621911947248
Belgium,-13.861087904475312
Croatia,-14.401189162200666
Paraguay,-14.559375889323363
Cabo Verde,-15.65805897672476
Venezuela (Bolivarian Republic of),-15.959425325994758
Italy,-16.81441941367801
Guinea,-17.159367205448717
Saint Kitts and Nevis,-17.620104269824438
Sao Tome and Principe,-17.63275483908184
Kiribati,-18.623979129584157
Angola,-19.056355754371808
Taiwan*,-21.626854104284305
Sierra Leone,-21.75458713015273
Djibouti,-21.99042498226396
Belize,-22.473744777283514
Iraq,-23.17917164086562
Central African Republic,-23.78875012541171
Kazakhstan,-25.024781434985186
Sudan,-25.07413975322673
Suriname,-25.397743167463545
Samoa,-25.780369185220835
Republic of Moldova,-26.28627480502209
Finland,-28.16729054615628
Botswana,-29.467316979150695
Yemen,-30.0015295047628
Honduras,-31.132762343893944
Ecuador,-31.651691245820032
Turkmenistan,-32.515203344048615
French Polynesia,-32.559058938388105
Luxembourg,-33.65931262370702
New Caledonia,-34.283663303265854
Bulgaria,-34.523960693692736
Russian Federation,-37.08998266208896
Mauritius,-37.6509063314542
Austria,-37.976064313182675
Niger,-38.17975760494183
Malaysia,-39.02338098944713
Senegal,-39.551047561925316
Nicaragua,-39.7237506381443
Vanuatu,-39.76777665296637
Lesotho,-40.99359839722197
Fiji,-42.54179563765619
Brazil,-43.97660485839695
Zimbabwe,-44.05746820433003
Liberia,-46.356505729990815
Uruguay,-46.645451154679435
Togo,-46.83570945772533
Zambia,-48.89529635591812
Poland,-49.015438547311405
Burkina Faso,-52.057124467717856
Czechia,-54.59099429643652
South Africa,-58.410599878852025
Argentina,-61.94306217064235
Chad,-62.31805627572455
Pakistan,-62.69196297240894
Slovakia,-64.452698821001
Mauritania,-71.36079058875708
Gambia,-72.49602666459319
Mongolia,-83.41387291471568
Hungary,-83.68966559441975
