Country,Score
Serbia,36.749566337711805
China,36.79466652221314
Philippines,36.803751025917016
Bahamas,37.054734206143436
Azerbaijan,38.95252704817536
Vietnam,39.55244683742022
Lithuania,41.44540113091547
Bolivia,42.0051518394236
Saint Lucia,43.12303367661197
Armenia,44.61086622975358
Denmark,44.75308746705458
Iceland,44.90190104412785
Chile,44.93404596124683
Barbados,46.3061453820871
Estonia,47.06966694012874
Montenegro,47.913075248143485
Saint Vincent and the Grenadines,49.23135584462779
New Zealand,49.65232120274186
Antigua and Barbuda,50.471433124966474
Malta,50.825647271307545
Albania,51.23135351093805
Mexico,51.23816229581657
Dominica,51.554099138506544
Luxembourg,52.18918473237527
Finland,52.26189089569718
Myanmar,52.69103448925837
Kyrgyzstan,52.8355926686382
Cuba,53.17506498323851
France,54.07717681090909
United Arab Emirates,54.25728257304637
Guyana,54.33254509841135
Norway,54.45352716785835
Oman,54.66886461524592
Latvia,55.06923114792288
Maldives,55.21909097143062
Belarus,55.6677186328958
Grenada,55.765831903703145
Bosnia and Herzegovina,56.193276362349046
United Kingdom,56.30264646802427
Croatia,56.35311953992168
Netherlands,56.459094495699695
Lao People's Democratic Republic,56.600936246202444
Ukraine,56.690774651729804
Turkmenistan,57.346335601546535
Slovenia,57.55457788426358
Australia,58.35796703650638
Panama,59.00829991228663
Portugal,59.849521377770444
Colombia,60.09360597174327
French Polynesia,60.18501870007909
Argentina,60.231235344324304
Russian Federation,60.32724825541699
Switzerland,60.41943459108182
Kuwait,60.524958154595595
Ireland,61.23490405031182
Uzbekistan,61.29504326898657
Saint Kitts and Nevis,61.5394869536244
Mongolia,62.78291121395957
Malawi,62.84209634290601
Sweden,62.97121995182294
Republic of Moldova,63.677342185542514
Eswatini,64.08571268750543
Cyprus,64.45036068693872
Madagascar,64.65523818444233
Trinidad and Tobago,64.67588916951802
Peru,64.75114727779847
Thailand,64.96314559739746
Romania,65.03980041481134
Poland,65.31359779633644
"Korea, South",65.75746392913513
Bulgaria,65.90840101590999
Germany,66.214182191363
Jamaica,67.99199832246174
Gabon,68.0538517580575
Uruguay,68.69474743399878
El Salvador,69.16681919131629
Spain,69.65659114504834
Morocco,70.24691137790582
Georgia,70.39396845411356
Taiwan*,70.53127284103365
New Caledonia,70.75879438282593
Paraguay,71.18686025579329
Cambodia,71.29244894136663
Canada,71.30851885269165
Timor-Leste,71.67174405625187
Brazil,72.09876394169632
Samoa,72.12896309293313
Iran (Islamic Republic of),72.35464001114211
Belize,72.35924576809057
Kazakhstan,72.8840879064706
Cabo Verde,73.1855354660622
United States of America,73.21414801112454
Austria,73.41518166592616
Belgium,74.18757602085616
North Macedonia,75.32233854985209
Israel,76.16671236081464
Central African Republic,76.17374363699075
Italy,76.40460636334541
Japan,76.45968503102846
South Africa,76.66985573099484
Guatemala,76.8429966957751
Egypt,78.23703232832936
Hungary,78.70497232358456
Afghanistan,78.71622057117119
Czechia,80.26994734628812
Congo,80.77310559853244
Kenya,82.29103411315977
Ecuador,82.38555347326246
Costa Rica,82.8592163721204
Malaysia,83.09048881515882
Angola,83.42923554336667
Fiji,84.43438463007696
Greece,85.00216931264644
Mali,85.17635363860083
Suriname,85.6559911226998
"Korea, North",85.66945489666882
Saudi Arabia,85.70177604278007
Namibia,86.50375056668096
Dominican Republic,87.0785103426975
Algeria,88.53410930279975
Slovakia,88.73031343235725
Solomon Islands,89.65858321206362
Nicaragua,90.22564127390051
Indonesia,90.50688904498504
Sudan,90.64066860915143
Venezuela (Bolivarian Republic of),90.8740208533521
Tunisia,91.0706082310466
Vanuatu,91.22140748621393
Lebanon,92.34385798730051
Haiti,92.79044249516828
Tajikistan,93.21589628329383
Cote d'Ivoire,93.27013793922043
Honduras,93.76873388317698
Mozambique,94.78332762607734
Yemen,95.72578553388794
Lesotho,96.70252546223973
Turkey,96.90884936076864
Pakistan,96.91784239336141
Nepal,97.18623705461404
Guinea-Bissau,97.3133606604499
Bangladesh,97.92724739082836
Rwanda,97.9704291941582
Chad,98.02953350582685
Uganda,98.05077900501679
Sri Lanka,98.65128841761548
Jordan,99.0707892858428
India,99.20902749656969
Botswana,99.39079052770603
Mauritius,99.79793240971105
Ghana,101.18881340294692
Ethiopia,101.86018817332902
Mauritania,102.1307765812921
Benin,104.26156305605124
Djibouti,105.05333057004059
Iraq,105.82585045061646
Kiribati,106.1324842016765
Cameroon,106.40798158165858
Zambia,111.24497657122335
Nigeria,111.44092216961813
Zimbabwe,112.92767292231817
Liberia,114.445718367061
Niger,114.82091323967339
Guinea,115.21410465036236
Sao Tome and Principe,115.87327676721787
Senegal,117.45728997928812
United Republic of Tanzania,117.52535889441887
Sierra Leone,117.68694440791718
Burkina Faso,119.52544599263831
Togo,122.25678773106016
Gambia,129.76494354288678
