Country,Animal fats,Animal Products,Eggs,"Fish, Seafood",Meat,Offals,Cereals - Excluding Beer,Oilcrops,Pulses,Spices,Starchy Roots,Sugar Crops,Vegetable Oils,Vegetables,Vegetal Products,Fruits - Excluding Wine,Treenuts,Milk - Excluding Butter,Miscellaneous,Stimulants,Sugar & Sweeteners
Turkey,2.9392,13.6766,0.825,0.1428,3.8475,0.0674,2.0428,1.7453,0.3808,0.3729,0.0516,0,27.8172,0.6703,36.3175,0.3292,2.8162,5.8586,0.0079,0.0912,0
Turkmenistan,6.4856,32.6886,1.106,0.1274,17.4764,0.0521,2.9938,0.3938,0.0405,0.0058,0.0521,0,11.761,0.4459,17.3085,0.3069,0.1969,7.4411,0.0347,1.0829,0
Uganda,0.9627,12.3139,0.2239,0.862,6.101,0.1343,3.4479,6.5599,1.0411,0.0336,0.5709,0,25.0532,0.1567,37.6917,0.7164,0,4.0188,0.0112,0.1008,0
Ukraine,5.494,26.91,2.4481,0.516,9.635,0.1196,3.0837,0.1007,0.0629,0.0378,0.2266,0,17.4638,0.5223,23.09,0.3084,0.7867,8.691,0.0063,0.4972,0
United Arab Emirates,4.0036,21.4437,1.1407,0.8108,9.461,0.1677,3.0418,3.204,1.0624,1.1295,0.0168,0,14.924,0.4306,28.5563,0.6766,3.8246,5.86,0.1006,0.1454,0
United Kingdom,4.2615,25.8633,1.0778,0.5176,12.5789,0.0745,1.4678,1.1664,0.0638,0.1276,0.0851,0,18.3507,0.2127,24.1332,0.4219,0.702,7.353,0.078,1.4642,0
United Republic of Tanzania,1.5442,7.5907,0.0744,0.4558,3.014,0,4.214,8.3628,1.0233,0.1302,0.7163,0,27.0605,0.2419,42.4093,0.2698,0.3628,2.5023,0,0.0279,0
United States of America,3.3013,21.2045,1.25,0.3887,9.4166,0.009,1.2829,1.7464,0.0449,0.0867,0.0478,0,23.6117,0.1944,28.797,0.4426,0.942,6.8359,0,0.3977,0
Uruguay,3.4811,25.5069,1.2804,0.3281,12.2841,0.0729,2.5698,1.5127,0.0729,0.0319,0.1002,0,18.8819,0.2096,24.4908,0.1777,0.1367,8.0603,0.0456,0.7564,0
Uzbekistan,2.4884,25.9903,1.0639,0.0962,10.3624,0.1743,2.7168,0.3366,0,0.018,0.0902,0,18.4589,0.8535,24.0067,0.583,0.7754,11.805,0.012,0.1683,0
Vanuatu,1.9531,14.9179,0.3509,1.4343,9.9334,0.0966,4.1249,23.1779,0,0.1068,0.4578,0,6.4849,0.1424,35.0847,0.3052,0.0356,1.1495,0.0254,0.2187,0
Venezuela (Bolivarian Republic of),2.2673,16.3261,0.6555,0.5707,7.0949,0.2082,2.5449,0.1003,0.1157,0,0.1311,0,29.5211,0.1851,33.6855,0.964,0.0154,5.5217,0.0077,0.0848,0
Vietnam,3.8238,33.2484,0.7839,1.1217,26.4292,0.3378,3.7155,4.2891,0.0765,0.6309,0.0701,0.0382,5.6211,0.6373,16.7548,0.4079,1.1726,0.752,0.0064,0.0829,0
Yemen,2.0131,12.5401,0.5514,0.3847,8.001,0.2436,11.5271,0.7565,0.5001,0.1026,0.0513,0,23.6312,0.1667,37.4535,0.2564,0.0769,1.3463,0.0256,0.3718,0
Zambia,1.6113,9.6005,0.6266,1.007,4.901,0.179,14.3225,9.8915,0.0783,0.1567,0.2014,0,15.2848,0.1567,40.3939,0.1343,0.0112,1.2756,0.0224,0.0671,0
Zimbabwe,2.9543,10.3796,0.3682,0.2455,4.5674,0.1315,9.7922,1.9462,0.114,0.0526,0.0877,0,26.9396,0.0789,39.6248,0.0614,0.4296,2.104,0.0175,0.1052,0
