Seuils,Animal fats,Animal Products,Eggs,"Fish, Seafood",Meat,Offals,Cereals - Excluding Beer,Oilcrops,Pulses,Spices,Starchy Roots,Sugar Crops,Vegetable Oils,Vegetables,Vegetal Products,Fruits - Excluding Wine,Treenuts,Milk - Excluding Butter,Miscellaneous,Stimulants,Sugar & Sweeteners
Profil 1,0.66247,4.18861,0.17966,0.11454,1.8518,0.02471,0.03307,0.01689,0.00137,0.00102,0.00086,0.0,0.18193,0.00247,0.29061,0.00361,0.00452,0.2356,0.00151,0.0186,0.0
Profil 2,0.15773,0.99729,0.04278,0.02727,0.4409,0.00588,0.15746,0.08042,0.00653,0.00487,0.00411,0.0,0.86631,0.01178,1.38384,0.01721,0.02154,0.2356,0.00151,0.0186,0.0
Profil 3,0.16562,1.04715,0.04492,0.02864,0.46295,0.00618,0.15746,0.08042,0.00653,0.00487,0.00411,0.0,0.86631,0.01178,1.38384,0.01721,0.02154,0.2356,0.00151,0.0186,0.0
