Country,Score_Profil 2
Albania,0.484509660022407
Finland,0.4692523231263368
Estonia,0.468167064785582
Montenegro,0.46679866022438743
Mongolia,0.4626630766927288
Kyrgyzstan,0.4591265587397763
Iceland,0.45458821048216913
Serbia,0.44804103842448856
Azerbaijan,0.44407516857467444
Rwanda,0.4326476100184386
Saint Lucia,0.43243212989059937
Vietnam,0.43067756008213176
Turkmenistan,0.42951675282347757
Denmark,0.42634382408914634
Chile,0.42597342939833166
Armenia,0.42545001610882655
Luxembourg,0.42488511617463653
Netherlands,0.42390647094064837
Uzbekistan,0.42367722490264376
Maldives,0.4191246966900043
Bosnia and Herzegovina,0.4183417569733139
Malta,0.4182814624479372
Argentina,0.4135856215435915
China,0.412806195472086
Bolivia,0.41194191263213364
Bahamas,0.4113903947855154
Croatia,0.4105618153584089
Switzerland,0.4059966361521493
Romania,0.4052056088633321
New Zealand,0.4022623140836352
Lithuania,0.4022493321357424
Antigua and Barbuda,0.4020782862377076
France,0.4017085024414576
Poland,0.4002154547991709
Dominica,0.39933765412563893
Latvia,0.39828887886403314
Oman,0.39439852969289746
Guyana,0.3932733702012694
Ukraine,0.3918150054994281
Pakistan,0.39105486801278266
Mali,0.38877878579477176
Georgia,0.3887598045384716
Sudan,0.3881132185730099
Uruguay,0.3872773286793346
Philippines,0.3872008655193203
United Kingdom,0.3871261596055697
Saint Vincent and the Grenadines,0.38710349133752286
Kazakhstan,0.38704483920401817
Norway,0.3867154847824345
Sweden,0.38390240650537216
Cuba,0.3824809478227549
El Salvador,0.3802266733095583
Bulgaria,0.38011804927960224
Grenada,0.3794569240495894
Russian Federation,0.3779777607410314
Kenya,0.37681164718367394
Republic of Moldova,0.3767234699988231
Ireland,0.37574026984481945
Germany,0.37565191213423915
Slovenia,0.37521398577207654
Barbados,0.37520460506554765
Australia,0.37292410897464473
United Arab Emirates,0.3726330570965127
Myanmar,0.3696538654425257
Eswatini,0.36956443808619893
Afghanistan,0.3688230025916278
Brazil,0.36717813962498175
Hungary,0.36591212706224824
Mexico,0.36530096837492215
Cyprus,0.3631420820807554
French Polynesia,0.36267234344432814
Colombia,0.36192751130854794
Panama,0.3615318387110165
Madagascar,0.3609081167560066
Greece,0.360830867561333
Saint Kitts and Nevis,0.35869707545040486
Malawi,0.3585261673797306
Belgium,0.3573115718910302
Austria,0.3568008874286384
Portugal,0.35670945002526927
United States of America,0.355919483584956
Lesotho,0.3550326373206086
Mauritania,0.354318529389812
Cabo Verde,0.3543141327644241
New Caledonia,0.3535519508738497
Trinidad and Tobago,0.35285188258034667
Botswana,0.35248164385364383
Algeria,0.35065039326621683
Czechia,0.3499252271144211
Nicaragua,0.3495179764600021
Lao People's Democratic Republic,0.3492064049020084
Dominican Republic,0.34907849346854364
Jamaica,0.3476702360559745
Timor-Leste,0.34755608169633156
Italy,0.3473714358023584
Iran (Islamic Republic of),0.34666993175181665
South Africa,0.3464334100992895
Ecuador,0.3446320296204157
Peru,0.3444442912782616
Kuwait,0.344441461873064
Ethiopia,0.34265113481263326
Tajikistan,0.341863139098258
Spain,0.3412865155958883
Israel,0.34125507086497603
Belarus,0.33917112993471693
Egypt,0.3388258362184449
Costa Rica,0.33850150625740044
Honduras,0.33843019941886077
Turkey,0.3380096339450977
Guatemala,0.33706947216933403
Gabon,0.3368290719945652
Lebanon,0.33507765153253694
Niger,0.3350031376782195
Guinea-Bissau,0.33443358029189946
Cote d'Ivoire,0.3330792484420357
Venezuela (Bolivarian Republic of),0.33269995697057914
Samoa,0.3321034419250461
Cambodia,0.33168956494013857
Belize,0.33146203827258364
Canada,0.3308317647436806
Paraguay,0.3307288670398366
Zambia,0.3300948196462615
Nepal,0.32991497538055226
Burkina Faso,0.32936762683853327
Namibia,0.3286054545963672
Tunisia,0.32839442830250565
Chad,0.32799197525146423
Togo,0.3277934920862505
North Macedonia,0.32759157955863866
Taiwan*,0.3269854544404478
Benin,0.3266097911056846
Saudi Arabia,0.326516360619396
Slovakia,0.32620433745209054
Central African Republic,0.325978489328441
Yemen,0.3255880043366115
Nigeria,0.32556201665254186
India,0.3253425147567024
Haiti,0.3251936794722146
Cameroon,0.32488956619761905
Gambia,0.32447005761826825
Mozambique,0.32312419425948713
Morocco,0.32306027390795394
Sierra Leone,0.32248274643128366
Senegal,0.322060434417239
Thailand,0.3218601076358875
Guinea,0.32164912001845614
Angola,0.32109469758901954
Uganda,0.3209678905138733
Djibouti,0.3208739325565737
Sri Lanka,0.32049260756654757
Zimbabwe,0.3203359674732773
"Korea, South",0.32001789051058266
Bangladesh,0.3194223966824771
Sao Tome and Principe,0.3193501548207727
United Republic of Tanzania,0.3191811628956523
"Korea, North",0.3191737560003479
Jordan,0.31915470255649386
Liberia,0.3181797949111348
Ghana,0.31760292190679296
Suriname,0.31746278294409647
Japan,0.3171762670345712
Congo,0.3143980906547711
Indonesia,0.3141491581828824
Mauritius,0.3133100607637866
Vanuatu,0.31284044878662537
Malaysia,0.3101182258917361
Iraq,0.3092902076948269
Kiribati,0.30908037451325227
Fiji,0.30529999953793036
Solomon Islands,0.3017286925387045
