Country,Score_Profil 1
Vietnam,0.8428916944097798
Saint Lucia,0.8198785147655622
Mongolia,0.8191276574618589
Chile,0.7771248862321356
China,0.7762129523816309
Bolivia,0.7603778995134536
Finland,0.75476265194915
Serbia,0.7512932811505856
Turkmenistan,0.7362571732910083
Argentina,0.73265545514655
Philippines,0.7211204454124683
Luxembourg,0.7151011992340989
Bahamas,0.7068662376233976
New Zealand,0.6944125841092007
Montenegro,0.6940735434237743
Iceland,0.6917724119129158
Lithuania,0.680819709641903
Poland,0.6702932848396481
Myanmar,0.6475920076058783
Azerbaijan,0.6445630588678936
Denmark,0.6347541074245249
Estonia,0.6314450871236881
Antigua and Barbuda,0.6198698499879317
Cuba,0.6146618972054428
Saint Vincent and the Grenadines,0.6108527313404885
France,0.6072250331482385
Netherlands,0.6024500372321764
Croatia,0.6010667924334714
Dominica,0.5981318186261153
Armenia,0.5951917242689432
Albania,0.5940363121874718
Switzerland,0.5920814338331994
Latvia,0.5907038103330313
Malta,0.5893514032834847
Kyrgyzstan,0.5781038011327425
Hungary,0.5745260197833584
French Polynesia,0.5733872028719246
Barbados,0.571460161385861
Brazil,0.5705753510047691
Russian Federation,0.5705244591628875
United Kingdom,0.5630606197306279
Saint Kitts and Nevis,0.562347435079758
Norway,0.5580178450102646
Uruguay,0.5522781127430837
Sweden,0.5499316980533606
Ireland,0.5478739708352066
Germany,0.547088081062184
Portugal,0.5408504646737845
Ukraine,0.5378752816592399
Bulgaria,0.537361311553328
Mexico,0.5368040895646344
Republic of Moldova,0.5335064918890017
Uzbekistan,0.532968369511515
Maldives,0.5317016969610574
Austria,0.5314056037265484
Lao People's Democratic Republic,0.5246909454534531
Romania,0.5235907451173634
Grenada,0.5217343672706853
Slovenia,0.5196497535949148
Australia,0.5191640022994684
Panama,0.5156650607287346
Belarus,0.5138017095847949
Guyana,0.5088454838610007
Trinidad and Tobago,0.5023518486492329
Bosnia and Herzegovina,0.5013514529602321
Samoa,0.49914730767375054
Czechia,0.4958454900261473
Belize,0.49574501020981504
New Caledonia,0.48608302102171697
Belgium,0.4851873747602977
Georgia,0.4801292169808621
Kazakhstan,0.4793880272832738
South Africa,0.4771466210061179
Oman,0.4745312850341944
Jamaica,0.471649790279623
Malawi,0.4693965676199098
Colombia,0.4676602527802609
Slovakia,0.46751123033674974
Gabon,0.4573037454282443
Cabo Verde,0.45664065126471454
Taiwan*,0.4565090411935713
Eswatini,0.45273660525814086
Canada,0.45165801980237885
Timor-Leste,0.45046817390048177
Cyprus,0.4471883383529143
United Arab Emirates,0.44260588841721127
El Salvador,0.43995443417071056
"Korea, South",0.43980404592617667
Italy,0.4394566672656104
Thailand,0.43767761226295215
Central African Republic,0.43674906508346995
United States of America,0.43623557009567293
Pakistan,0.43141824574344206
Madagascar,0.42760785393973927
Cambodia,0.42661368826371326
Ecuador,0.4220797165664086
Paraguay,0.4213915125315575
Kuwait,0.414068178339306
Afghanistan,0.4035855812492295
Spain,0.4032536710603358
Fiji,0.4015489796511172
Sudan,0.3863213121493726
Japan,0.38326736736288675
Costa Rica,0.37816425105949264
North Macedonia,0.370972810691526
Malaysia,0.366613078536438
Nicaragua,0.3519103828038602
Angola,0.3506919211176048
Peru,0.34380825982406227
Greece,0.33855073871414787
Suriname,0.3371655299715926
Kenya,0.3345740723038346
Chad,0.33319966299310316
Honduras,0.3307385739806113
Namibia,0.3300044695383674
Vanuatu,0.3271982969393812
Mali,0.31930150562160353
Israel,0.31824579882604215
Mauritania,0.31821577704372433
Iran (Islamic Republic of),0.3168319133141459
Venezuela (Bolivarian Republic of),0.3135816894791873
Egypt,0.2999557129530632
Dominican Republic,0.2984426270162234
Guatemala,0.29698566151926664
Morocco,0.29569349278253926
Saudi Arabia,0.2934309274183427
Congo,0.2900644311433149
Botswana,0.2877087163997823
Lesotho,0.28323751019976834
Yemen,0.2568185192721922
Solomon Islands,0.25560276645831886
India,0.2539063394504801
"Korea, North",0.25095631018488757
Haiti,0.24839743083460872
Tajikistan,0.24646120727702314
Mauritius,0.2443888039286779
Algeria,0.24070196256637424
Guinea-Bissau,0.2316685099497864
Turkey,0.22642564044994612
Uganda,0.22447539612685188
Mozambique,0.22357868821700466
Jordan,0.22008202780987363
Lebanon,0.2153947499303777
Tunisia,0.21031742320544541
Rwanda,0.2033840443667631
Kiribati,0.1974168082512945
Djibouti,0.19038989886105417
Nepal,0.18616214661837957
Ethiopia,0.18009528636898772
Iraq,0.17330590301612278
Zimbabwe,0.1709380951282545
Niger,0.17092935426109337
Zambia,0.16289017733363192
Liberia,0.15305888952477803
Sri Lanka,0.14278299532862418
Indonesia,0.1392598763930856
Bangladesh,0.13621389854031105
Sao Tome and Principe,0.1212055974484244
Ghana,0.11192846096967962
Burkina Faso,0.11183911505892333
United Republic of Tanzania,0.10859285576029015
Cameroon,0.10061896335219998
Benin,0.09945349030267515
Senegal,0.09918912318002406
Togo,0.09838593441603634
Guinea,0.09410692450893074
Cote d'Ivoire,0.08979587019687109
Nigeria,0.08718298427120336
Sierra Leone,0.0864760911830177
Gambia,0.08128257109837951
