Country,Score_Profil 3
Rwanda,0.6067145014440103
Cote d'Ivoire,0.48327375709832926
Nigeria,0.4706040843158939
Togo,0.4687845930521832
Cameroon,0.4674103940342047
Benin,0.4668812300646919
Burkina Faso,0.46265614342854877
Ghana,0.46057757704679536
Zambia,0.45965522353264004
Senegal,0.45579473408861265
Lesotho,0.4545558585016379
Guinea,0.4535153014346685
Sao Tome and Principe,0.45246985479538265
Gambia,0.45155922647391067
Sierra Leone,0.44914280959078756
Ethiopia,0.44689340244917847
Indonesia,0.44607196606321653
Niger,0.44254081776107773
United Republic of Tanzania,0.4422822329554295
Guinea-Bissau,0.44180298585113353
Liberia,0.44016910988535213
Zimbabwe,0.4368388432241736
Bangladesh,0.43556088072354027
Haiti,0.4306252106793725
Mozambique,0.42942896973401207
Yemen,0.42713735091128274
Dominican Republic,0.4260329877942112
Lebanon,0.42514901481356515
Iran (Islamic Republic of),0.42512685386132004
"Korea, North",0.42496953532725207
Tajikistan,0.4247005004153676
Sri Lanka,0.42182601631769534
Iraq,0.42047346793772944
Nepal,0.4182938583906025
Kiribati,0.4166865274448699
Egypt,0.4150736438585971
Guatemala,0.41495551096240163
Tunisia,0.4147715163699156
Djibouti,0.4119376298489782
Turkey,0.40701087383791473
Morocco,0.4045763413835721
Jordan,0.40377961054249767
Uganda,0.4033653706034442
Malawi,0.4002278690118806
Congo,0.39759797500607463
Mali,0.39700105569028293
Mauritius,0.390799835255802
Algeria,0.3896846265439177
Israel,0.3895023236093533
Solomon Islands,0.38919349404402703
Timor-Leste,0.38911683507441236
Kenya,0.3881858906055348
Angola,0.3807013088952575
Saudi Arabia,0.3791654731484523
Madagascar,0.3763503178213316
Vanuatu,0.37427142204730873
Honduras,0.37343535070984135
Suriname,0.37173723961744026
Peru,0.3700627232677503
India,0.36735765230975215
Namibia,0.36462154563844024
Chad,0.36459610525798236
Venezuela (Bolivarian Republic of),0.3634211145950976
Botswana,0.36161362758380133
Nicaragua,0.3607157785649202
Cambodia,0.36006527286110773
Eswatini,0.3592416383348206
United Arab Emirates,0.3561901251737088
Greece,0.3499280776133001
Malaysia,0.3454678264612264
Mauritania,0.34472028162331037
Lao People's Democratic Republic,0.3357754756077213
Central African Republic,0.3331096015804945
Gabon,0.3323876621932555
South Africa,0.3299826896907889
Spain,0.3270838712598329
Grenada,0.3263037021768925
Maldives,0.3260195065919555
Kuwait,0.32585529581779094
Paraguay,0.3237236296695522
Sudan,0.3235818561578545
North Macedonia,0.323364830399443
Afghanistan,0.32316335326294693
Taiwan*,0.32236747575007624
Thailand,0.3222928180124826
Japan,0.32073084271536784
"Korea, South",0.31895044859160354
El Salvador,0.3177615646685842
Colombia,0.31269482961542466
Cyprus,0.31234117252732524
Guyana,0.3104573656632775
Costa Rica,0.3075193898797715
Ecuador,0.3063972676692569
Fiji,0.30473112686027676
United States of America,0.304236375299912
Italy,0.29934473310216647
Cabo Verde,0.2979406701241581
Samoa,0.2961390269868582
New Caledonia,0.29602658614881355
Mexico,0.29566318495483296
Oman,0.2863452423356092
Belarus,0.2838434447173449
Saint Vincent and the Grenadines,0.2828886916431136
Canada,0.2819182952339239
Australia,0.27935152383441425
Trinidad and Tobago,0.2773212472463376
Bosnia and Herzegovina,0.2767416411441487
Kazakhstan,0.2761706220011259
Jamaica,0.27616921359071
Belize,0.2705041999419691
Georgia,0.2678828273232618
Saint Kitts and Nevis,0.2676366268404181
Cuba,0.2612186258631024
Pakistan,0.2607488135196883
French Polynesia,0.2599284545985941
Slovenia,0.25810838756224275
Uzbekistan,0.25773691530400034
Myanmar,0.2573555034567161
Brazil,0.25674877815649316
Barbados,0.2543033717362683
Panama,0.252552676505065
United Kingdom,0.2515604834828439
Uruguay,0.2512142004299801
Czechia,0.24933019981703025
Dominica,0.24846149731952444
Antigua and Barbuda,0.24765608152809898
Switzerland,0.2469650813266356
Azerbaijan,0.24642574182106683
Slovakia,0.24476250699642377
Kyrgyzstan,0.2439532275002815
Ukraine,0.24339569109070847
Portugal,0.24257607381195362
Belgium,0.2404638105638332
Republic of Moldova,0.23902870818214486
Norway,0.2388365071365272
Ireland,0.23812549632782923
China,0.23741212377025367
Germany,0.23618759154329252
Malta,0.23530117347549107
Romania,0.2346491043782156
Philippines,0.23337346200960443
Vietnam,0.23326620568097717
Bulgaria,0.23113477946305452
Bahamas,0.22887812975545208
Bolivia,0.2282161288394571
Sweden,0.22616376299942062
Austria,0.22547747786276967
Armenia,0.22419620541160779
Netherlands,0.22339817641424195
Russian Federation,0.22305686088271395
Croatia,0.22097685736357922
Albania,0.2189295691945751
Chile,0.21582117098564427
Montenegro,0.21554464774900503
Argentina,0.2153462772106712
Estonia,0.2137136664604767
Serbia,0.21368441719915732
Saint Lucia,0.21272473111676282
France,0.2117222792610296
Hungary,0.21011550461341158
Latvia,0.2090152399665269
Iceland,0.20784723724431156
Mongolia,0.20594934338822712
Turkmenistan,0.20546387896782856
Lithuania,0.2041998421013564
Luxembourg,0.20325148835007292
New Zealand,0.20238621285856645
Finland,0.2023429316150362
Denmark,0.1995746303868404
Poland,0.19470508990710925
