Country,Score
Azerbaijan,59.86999999999998
Maldives,58.31199999999998
Bosnia and Herzegovina,55.889999999999986
Oman,55.72600000000002
Guyana,54.072
United Arab Emirates,51.30800000000005
Armenia,50.431999999999995
Serbia,49.849999999999966
Denmark,49.109999999999935
Peru,47.11600000000001
Bahamas,46.49800000000002
Philippines,45.77399999999998
Estonia,44.809999999999974
China,42.808
Albania,40.690000000000026
Kyrgyzstan,40.281999999999975
Kuwait,39.80399999999998
Morocco,38.535999999999945
Saint Vincent and the Grenadines,38.189999999999976
Slovenia,37.56199999999998
Malta,37.001999999999974
Barbados,35.818
Cote d'Ivoire,34.72800000000004
Iceland,33.310000000000045
Antigua and Barbuda,31.09800000000004
Iran (Islamic Republic of),30.64200000000001
Montenegro,29.230000000000004
Dominica,28.682000000000002
Israel,28.636000000000017
Indonesia,28.473999999999975
Guatemala,27.904000000000032
North Macedonia,27.10199999999997
Mexico,25.458
Algeria,25.258000000000003
Norway,25.245999999999974
El Salvador,25.13199999999999
Lithuania,24.686000000000007
Cyprus,24.61399999999999
Vietnam,24.346000000000018
Bolivia,24.24600000000001
Madagascar,23.845999999999975
Panama,22.135999999999996
Australia,21.99199999999999
Ukraine,21.476000000000013
Colombia,21.44799999999998
Egypt,20.88000000000001
Grenada,20.744
Saint Lucia,19.59799999999997
United Kingdom,18.94899999999997
Tunisia,17.631999999999977
Romania,17.25399999999999
Nepal,17.086000000000027
Uzbekistan,16.97200000000001
Eswatini,16.811999999999983
Kenya,16.477999999999966
Lebanon,16.450000000000003
Croatia,16.351999999999947
Latvia,16.104000000000013
Mali,16.100000000000037
Lao People's Democratic Republic,15.439999999999998
Chile,15.146
Georgia,14.847999999999999
Sri Lanka,14.529999999999987
Afghanistan,14.454000000000036
France,12.453999999999937
Costa Rica,11.36399999999999
Ireland,10.791999999999959
Spain,10.504000000000033
Belarus,10.434000000000026
Saudi Arabia,9.824999999999974
Myanmar,8.338000000000036
Sweden,7.583999999999975
Portugal,7.11999999999999
Jamaica,7.061999999999998
Cuba,6.653999999999982
Netherlands,6.282000000000011
Luxembourg,4.763999999999996
Finland,4.687999999999988
Greece,4.5519999999999925
Malawi,3.9699999999999847
United States of America,3.0700000000000074
Trinidad and Tobago,2.889999999999958
Bangladesh,2.375999999999962
Canada,1.9080000000000439
Switzerland,1.2340000000000089
Tajikistan,0.8979999999999393
Turkey,0.5120000000000289
Germany,-0.7920000000000016
Thailand,-1.137999999999991
New Zealand,-1.2850000000000108
Congo,-2.1520000000000294
Japan,-2.164000000000044
Republic of Moldova,-3.0630000000000166
Solomon Islands,-3.109999999999985
Haiti,-3.497000000000014
Kazakhstan,-4.182000000000016
Gabon,-4.844000000000037
India,-5.54999999999994
Cabo Verde,-6.0820000000000505
Bulgaria,-6.224000000000004
Belgium,-7.333999999999975
Turkmenistan,-7.388000000000019
"Korea, South",-7.719999999999985
Saint Kitts and Nevis,-8.347999999999985
Cameroon,-8.54600000000005
Ethiopia,-8.638000000000076
Ghana,-8.754000000000033
Benin,-8.81399999999995
Rwanda,-9.308000000000064
Namibia,-10.61399999999999
Cambodia,-10.626000000000033
Russian Federation,-10.695999999999955
French Polynesia,-10.757999999999967
Timor-Leste,-10.996000000000066
Dominican Republic,-11.107999999999976
Paraguay,-11.88000000000001
New Caledonia,-12.878
Italy,-13.94799999999995
Botswana,-15.521999999999991
"Korea, North",-15.618000000000038
Jordan,-16.58999999999999
Belize,-16.76399999999994
Taiwan*,-16.878000000000014
Sudan,-18.928999999999945
Austria,-20.775999999999954
Venezuela (Bolivarian Republic of),-21.25399999999992
Uruguay,-21.50800000000001
Djibouti,-23.353999999999928
Mozambique,-23.628
Uganda,-23.65100000000001
Ecuador,-24.354
Guinea-Bissau,-25.948000000000008
Samoa,-26.15799999999993
Brazil,-26.206000000000046
Suriname,-27.155999999999963
Nigeria,-27.95000000000003
Mongolia,-27.980000000000032
Honduras,-28.006000000000057
Mauritius,-29.125999999999962
Nicaragua,-29.77200000000004
Iraq,-31.095999999999975
Czechia,-31.352000000000004
Yemen,-31.648000000000046
Angola,-32.26200000000001
Central African Republic,-32.47700000000001
Argentina,-32.529999999999994
Poland,-34.782
Fiji,-36.43400000000003
South Africa,-39.392
Malaysia,-39.45800000000001
Pakistan,-40.249999999999964
Guinea,-40.55399999999999
Lesotho,-41.91800000000005
Vanuatu,-43.117999999999945
Sierra Leone,-43.800000000000026
United Republic of Tanzania,-44.11200000000002
Slovakia,-45.250000000000014
Niger,-46.28300000000003
Sao Tome and Principe,-46.44600000000004
Mauritania,-46.58700000000001
Kiribati,-48.84000000000006
Senegal,-49.86800000000001
Hungary,-50.357999999999976
Zimbabwe,-53.75999999999995
Zambia,-55.27800000000002
Chad,-57.84499999999994
Burkina Faso,-61.25000000000004
Liberia,-63.691999999999986
Togo,-65.34100000000004
Gambia,-74.70799999999997
