Country,Score
Cote d'Ivoire,114.617
Iran (Islamic Republic of),113.31
Morocco,112.75800000000001
Guyana,112.548
Peru,111.262
United Arab Emirates,110.608
Maldives,109.16499999999999
Bosnia and Herzegovina,107.727
Azerbaijan,107.47200000000001
Indonesia,106.83600000000001
Philippines,106.811
Guatemala,105.43100000000001
Egypt,103.403
Lebanon,103.35400000000001
Oman,102.251
Algeria,102.09700000000001
Nepal,102.052
Israel,101.66600000000001
Madagascar,100.747
Saint Vincent and the Grenadines,100.045
Tunisia,99.061
Kenya,98.582
Lao People's Democratic Republic,97.896
El Salvador,97.88500000000002
Sri Lanka,97.74700000000001
Kuwait,97.69
Armenia,97.35900000000001
Bangladesh,97.046
Malawi,97.033
Barbados,96.00200000000001
Vietnam,95.865
Mali,95.65899999999999
Serbia,95.617
Cameroon,95.59
Slovenia,95.34
North Macedonia,95.299
Albania,95.24800000000002
Benin,94.761
Bahamas,94.291
Ghana,94.24100000000001
China,93.80000000000001
Eswatini,93.74000000000001
Colombia,93.60000000000001
Kyrgyzstan,92.68700000000001
Estonia,92.541
Denmark,92.136
Bolivia,91.739
Mexico,91.715
Turkey,90.60000000000001
"Korea, North",90.59699999999998
Rwanda,90.46600000000001
Ethiopia,90.07400000000001
Solomon Islands,89.193
Haiti,88.878
Malta,88.155
Afghanistan,88.135
Congo,88.004
India,87.382
Chile,87.36300000000001
Canada,87.22800000000001
Ukraine,87.11000000000001
Uzbekistan,86.68
Cyprus,86.653
Lithuania,86.049
Grenada,85.956
Antigua and Barbuda,85.875
Spain,85.803
Saudi Arabia,85.53299999999999
Dominica,85.465
Cuba,85.423
Nigeria,85.40700000000001
Panama,84.92699999999999
Tajikistan,84.809
Norway,84.18900000000001
Costa Rica,84.07500000000002
Belarus,83.95700000000001
Timor-Leste,83.69000000000001
Myanmar,83.676
Cambodia,83.43299999999999
Australia,83.082
United Kingdom,81.80799999999999
Thailand,81.557
Montenegro,81.244
Mozambique,81.1
Jamaica,80.203
United States of America,80.19
Iceland,79.40199999999999
Romania,79.211
Guinea-Bissau,79.16199999999999
Saint Lucia,79.075
Netherlands,78.825
Sweden,78.594
Greece,78.546
Trinidad and Tobago,78.272
New Zealand,77.59800000000001
Georgia,77.46199999999999
Gabon,77.30600000000001
Jordan,77.293
Uganda,77.19
Dominican Republic,76.78
Portugal,76.37700000000001
Ireland,76.17800000000001
Japan,75.97999999999999
Latvia,75.806
"Korea, South",74.51500000000001
Namibia,74.263
United Republic of Tanzania,73.96600000000001
France,73.765
Switzerland,73.58100000000002
Germany,73.02300000000001
Belgium,72.77000000000001
Croatia,72.35900000000001
Paraguay,72.246
Cabo Verde,71.77100000000002
Venezuela (Bolivarian Republic of),71.62699999999998
Italy,71.28399999999999
Saint Kitts and Nevis,71.082
Guinea,71.043
Sao Tome and Principe,70.714
Kiribati,70.22999999999999
Angola,70.122
Sierra Leone,69.016
Taiwan*,69.009
Djibouti,68.30700000000002
Belize,68.178
Iraq,67.606
Kazakhstan,67.137
Central African Republic,67.109
Suriname,67.098
Samoa,66.471
Republic of Moldova,66.352
Sudan,65.814
Finland,65.399
Botswana,64.779
Yemen,64.498
Honduras,64.25500000000001
Ecuador,63.91400000000001
Turkmenistan,63.638
French Polynesia,63.539
Luxembourg,62.760000000000005
Bulgaria,62.491
Brazil,62.318000000000005
New Caledonia,62.010999999999996
Mauritius,61.385000000000005
Russian Federation,61.193
Vanuatu,60.403000000000006
Austria,60.157000000000004
Nicaragua,59.974000000000004
Senegal,59.870999999999995
Niger,59.851
Malaysia,59.807
Lesotho,59.449
Fiji,58.524
Zimbabwe,57.68000000000001
Liberia,56.61
Uruguay,56.286
Zambia,55.581
Togo,55.548
Poland,55.266
Burkina Faso,53.899
Czechia,52.16
South Africa,50.453
Pakistan,49.632000000000005
Argentina,48.506
Slovakia,47.73100000000001
Chad,47.461000000000006
Gambia,43.481
Mauritania,43.095
Mongolia,38.278
Hungary,37.79600000000001
