Country,Score
Azerbaijan,106.39999999999999
Philippines,105.797
Maldives,105.60300000000001
Bosnia and Herzegovina,104.41499999999999
Oman,104.333
China,104.304
Guyana,103.506
United Arab Emirates,102.084
Armenia,101.661
Serbia,101.395
Denmark,100.91999999999999
Peru,100.02799999999999
Bahamas,99.719
Estonia,98.85499999999999
Indonesia,97.042
Albania,96.66
Kyrgyzstan,96.611
Kuwait,96.37199999999999
Morocco,95.738
Saint Vincent and the Grenadines,95.565
Slovenia,95.24600000000001
Malta,94.971
Barbados,94.356
Cote d'Ivoire,93.82900000000001
Iceland,93.08200000000001
Antigua and Barbuda,92.019
Iran (Islamic Republic of),91.686
Montenegro,91.07000000000001
Dominica,90.811
Israel,90.78800000000001
Guatemala,90.407
Vietnam,90.22300000000001
Sri Lanka,90.175
North Macedonia,90.021
Madagascar,89.98299999999999
Mexico,89.199
Algeria,89.09899999999999
Norway,89.09299999999999
El Salvador,89.031
Lithuania,88.81299999999999
Cyprus,88.77699999999999
Costa Rica,88.58699999999999
Bolivia,88.57300000000001
Egypt,88.495
Panama,87.515
Australia,87.46600000000001
Ukraine,87.208
Colombia,87.194
Myanmar,87.05600000000001
Grenada,86.842
Nepal,86.57000000000001
Saint Lucia,86.269
United Kingdom,85.882
Lao People's Democratic Republic,85.78
Tunisia,85.281
Romania,85.09700000000001
Eswatini,84.876
Uzbekistan,84.83600000000001
Lebanon,84.68
Kenya,84.604
Croatia,84.541
Mali,84.39500000000001
Latvia,84.392
Chile,84.023
Georgia,83.774
Afghanistan,83.697
France,82.697
Ireland,81.866
Spain,81.61700000000002
Belarus,81.567
Saudi Arabia,81.297
Haiti,80.574
Sweden,80.262
Portugal,80.025
Jamaica,80.001
Cuba,79.797
Netherlands,79.491
Bangladesh,79.248
Luxembourg,78.84200000000001
Finland,78.799
Greece,78.74600000000001
Malawi,78.45500000000001
Trinidad and Tobago,77.91
United States of America,77.9
Canada,77.424
Japan,76.96799999999999
Switzerland,76.967
Tajikistan,76.919
Turkey,76.726
Germany,75.96900000000001
Thailand,75.891
New Zealand,75.66
Congo,75.394
Solomon Islands,74.915
Republic of Moldova,74.876
Kazakhstan,74.37899999999999
Gabon,73.898
India,73.59
Cabo Verde,73.429
Bulgaria,73.353
Turkmenistan,72.77600000000001
Cambodia,72.74699999999999
Belgium,72.678
"Korea, South",72.505
Saint Kitts and Nevis,72.296
Cameroon,72.19200000000001
Benin,72.06300000000002
Ghana,72.053
Ethiopia,72.04599999999999
Rwanda,71.816
Brazil,71.292
Namibia,71.16300000000001
Russian Federation,71.11700000000002
French Polynesia,71.071
Timor-Leste,70.97200000000001
Dominican Republic,70.916
Paraguay,70.53
New Caledonia,70.031
Italy,69.49600000000001
Botswana,68.709
"Korea, North",68.511
Jordan,68.17500000000001
Belize,68.088
Taiwan*,68.031
Sudan,66.568
Austria,65.957
Uruguay,65.716
Venezuela (Bolivarian Republic of),65.69300000000001
Djibouti,64.793
Mozambique,64.65599999999999
Ecuador,64.28800000000001
Uganda,64.172
Guinea-Bissau,63.346000000000004
Samoa,63.271
Suriname,62.89200000000001
Nigeria,62.49499999999999
Mongolia,62.480000000000004
Honduras,62.467
Mauritius,61.907
Nicaragua,61.583999999999996
Iraq,60.92200000000001
Czechia,60.76400000000001
Yemen,60.636
Angola,60.324000000000005
Argentina,60.09000000000001
Central African Republic,59.788999999999994
Poland,58.934
Fiji,58.248
Pakistan,57.93
Malaysia,56.67100000000001
South Africa,56.669000000000004
Guinea,56.043000000000006
Lesotho,55.510999999999996
Vanuatu,54.791000000000004
Sierra Leone,54.57000000000001
United Republic of Tanzania,54.286
Slovakia,53.845
Sao Tome and Principe,53.232
Niger,52.891000000000005
Mauritania,52.589000000000006
Kiribati,51.91000000000001
Senegal,51.531000000000006
Hungary,51.18600000000001
Zimbabwe,49.59
Zambia,48.81100000000001
Chad,46.955
Burkina Faso,45.845
Liberia,44.464000000000006
Togo,43.362
Gambia,38.961
